,Import Power [kW],Export Power [kW],Load Power [kW],Tariff Energy Period [-],Tariff Power Period [-],Temperature [C],PV Power [kW],Battery Charging Power [kW],Battery Discharging Power [kW],Battery Aggregate SOC [-],Tariff Energy [$/kWh],PV/Import Power (%),Battery Utilization Rate (%),Grid Utilization rate (%)
190,50036.995,0.0,51311.196,0,0,12.590993811873794,2124.2005,850.0,0.0,0.7619958,0.15,3,1,96
191,51346.408,0.0,52033.889,0,0,12.627377093440987,1537.4806,850.0,0.0,0.76471051,0.15,3,1,96
192,51951.446,0.0,52756.582,0,0,12.66376037500818,1655.1352,850.0,0.0,0.7674252,0.15,3,1,96
193,52388.26,0.0,53238.377,0,0,12.716012641994732,1700.1169,850.0,0.0,0.77013987,0.15,3,1,96
194,53520.803,0.0,53720.172,0,0,12.768264908981283,1049.369,850.0,0.0,0.77285452,0.15,3,1,96
195,53707.651,0.0,54201.968,0,0,12.820517175967836,1344.3162,850.0,0.0,0.77556915,0.15,3,1,96
196,54547.881,0.0,54683.763,0,0,12.872769442954388,985.88138,850.0,0.0,0.77828377,0.15,3,1,96
197,54851.439,0.0,55165.558,0,0,12.92502170994094,1164.1194,850.0,0.0,0.78099836,0.15,3,1,96
198,55536.867,0.0,55647.353,0,0,12.977273976927492,960.48634,850.0,0.0,0.78371294,0.15,3,1,96
199,56199.332,0.0,56129.149,0,0,13.029526243914043,779.81684,850.0,0.0,0.7864275,0.15,3,1,96
200,56611.898,0.0,56610.944,0,0,13.081778510900598,849.04534,850.0,0.0,0.78914203,0.15,3,1,96
201,57240.053,0.0,57092.739,0,0,13.13403077788715,702.68616,850.0,0.0,0.79185655,0.15,3,1,96
202,56722.391,0.0,57574.534,0,0,13.186283044873704,1702.1431,850.0,0.0,0.79457105,0.15,3,1,96
203,57216.479,0.0,58056.33,0,0,13.238535311860254,1689.8508,850.0,0.0,0.79728554,0.15,3,1,96
204,56517.887,0.0,58538.125,2,2,13.290787578846809,1204.2382,0.0,816.0,0.8,0.22,3,1,96
205,57679.327,0.0,58839.247,2,2,13.354649728097725,343.92043,0.0,816.0,0.79716111,0.22,3,1,96
206,57752.528,0.0,59140.369,2,2,13.41851187734864,571.84092,0.0,816.0,0.79432224,0.22,3,1,96
207,57837.502,0.0,59441.491,2,2,13.482374026599556,787.98918,0.0,816.0,0.79148339,0.22,3,1,96
208,58585.793,0.0,59742.613,2,2,13.546236175850469,340.82035,0.0,816.0,0.78864456,0.22,3,1,96
209,59067.591,0.0,60043.735,2,2,13.610098325101385,160.14409,0.0,816.0,0.78580575,0.22,3,1,96
210,59486.102,0.0,60344.857,2,2,13.6739604743523,42.754846,0.0,816.0,0.78296696,0.22,3,1,96
211,59809.371,0.0,60645.979,2,2,13.737822623603217,20.60848,0.0,816.0,0.78012819,0.22,3,1,96
212,60130.938,0.0,60947.101,2,2,13.801684772854133,0.1636224,0.0,816.0,0.77728944,0.22,3,1,96
213,60432.223,0.0,61248.223,2,2,13.865546922105048,0.0,0.0,816.0,0.77445071,0.22,3,1,96
214,60733.345,0.0,61549.345,2,2,13.929409071355964,0.0,0.0,816.0,0.771612,0.22,3,1,96
215,61034.467,0.0,61850.467,2,2,13.99327122060688,0.0,0.0,816.0,0.76877331,0.22,3,1,96
216,61335.589,0.0,62151.589,2,2,14.057133369857794,0.0,0.0,816.0,0.76593463,0.22,3,1,96
217,61395.814,0.0,62211.814,2,2,14.127399972075034,0.0,0.0,816.0,0.76309598,0.22,3,1,96
218,61456.038,0.0,62272.038,2,2,14.197666574292276,0.0,0.0,816.0,0.76025735,0.22,3,1,96
219,61516.263,0.0,62332.263,2,2,14.267933176509516,0.0,0.0,816.0,0.75741874,0.22,3,1,96
220,61576.487,0.0,62392.487,2,2,14.338199778726755,0.0,0.0,816.0,0.75458014,0.22,3,1,96
221,61636.711,0.0,62452.711,2,2,14.408466380943995,0.0,0.0,816.0,0.75174157,0.22,3,1,96
