Hora,P_carga [kW],FC red
2025-01-01 21:20:00,1205111.7608786214,9.270090468297088
2025-01-01 21:25:00,1191899.065149835,9.168454347306424
2025-01-01 21:30:00,1178686.3684210489,9.066818218623453
2025-01-01 21:35:00,1165473.6716922629,8.965182089940484
2025-01-01 21:40:00,1152260.9759634763,8.863545968949818
2025-01-01 21:45:00,1139048.2793346902,8.76190984103608
2025-01-01 21:50:00,1125835.582905904,8.6602737146608
2025-01-01 21:55:00,1112622.886577118,8.558637589054754
2025-01-01 22:00:00,1099410.1902483315,8.457001463448705
2025-01-01 22:05:00,1091124.503862474,8.393265414326725
2025-01-01 22:10:00,1082838.8175766163,8.329529365973972
2025-01-01 22:15:00,1074553.1311907591,8.265793316851994
2025-01-01 22:20:00,1066267.4449049016,8.202057268499244
2025-01-01 22:25:00,1057981.758519044,8.13832121937726
2025-01-01 22:30:00,1049696.0721331867,8.074585170255283
2025-01-01 22:35:00,1041410.3858473294,8.010849121902535
2025-01-01 22:40:00,1033124.699461472,7.947113072780554
2025-01-01 22:45:00,1024839.0131756144,7.883377024427804
2025-01-01 22:50:00,1016553.3267897568,7.819640975305822
2025-01-01 22:55:00,1008267.6404638996,7.755904926645382
2025-01-01 23:00:00,999981.954118042,7.692168877831093
