ASCII Name;Population;LABEL EN;Classification
San Antonio;5185;Colombia;Small City
Altos del Rosario;5220;Colombia;Small City
Arbelaez;5252;Colombia;Small City
El Molino;5265;Colombia;Small City
Pueblorrico;5327;Colombia;Small City
Regidor;5335;Colombia;Small City
Guayabal;5339;Colombia;Small City
La Pintada;5342;Colombia;Small City
Palmito;5345;Colombia;Small City
Arenal;5346;Colombia;Small City
Playarrica;5381;Colombia;Small City
Monitos;5385;Colombia;Small City
Guatape;5389;Colombia;Small City
Fomeque;5389;Colombia;Small City
Belen;5411;Colombia;Small City
Risaralda;5421;Colombia;Small City
Nemocon;5466;Colombia;Small City
San Pedro;5473;Colombia;Small City
El Rosal;5552;Colombia;Small City
San Roque;5576;Colombia;Small City
Vigia del Fuerte;5624;Colombia;Small City
Gonzalez;5634;Colombia;Small City
San Pelayo;5637;Colombia;Small City
Carmen de Apicala;5640;Colombia;Small City
Piedras;5662;Colombia;Small City
Pijao;5668;Colombia;Small City
La Vega;5706;Colombia;Small City
Aquitania;5718;Colombia;Small City
Yaguara;5724;Colombia;Small City
San Pablo de Borbur;5839;Colombia;Small City
La Tola;5847;Colombia;Small City
Ancuya;5852;Colombia;Small City
Trujillo;5874;Colombia;Small City
Villapinzon;5874;Colombia;Small City
Toledo;5911;Colombia;Small City
Puerto Gaitan;5928;Colombia;Small City
Barranco de Loba;5933;Colombia;Small City
Norcasia;5976;Colombia;Small City
Tocancipa;6027;Colombia;Small City
Yolombo;6033;Colombia;Small City
Mapiripan;6036;Colombia;Small City
Zapatoca;6052;Colombia;Small City
Valparaiso;6082;Colombia;Small City
Aldana;6085;Colombia;Small City
Ginebra;6088;Colombia;Small City
Salamina;6166;Colombia;Small City
Talaigua Viejo;6217;Colombia;Small City
Mistrato;6263;Colombia;Small City
Guaitarilla;6280;Colombia;Small City
Roncesvalles;6340;Colombia;Small City
Pauna;6355;Colombia;Small City
El Tambo;6355;Colombia;Small City
El Paso;6367;Colombia;Small City
Santa Isabel;6382;Colombia;Small City
Tamesis;6406;Colombia;Small City
Remedios;6415;Colombia;Small City
Caloto;6478;Colombia;Small City
El Rosario;6498;Colombia;Small City
San Zenon;6520;Colombia;Small City
San Pablo;6522;Colombia;Small City
Cordoba;6597;Colombia;Small City
Concordia;6624;Colombia;Small City
Casabianca;6639;Colombia;Small City
Ambalema;6683;Colombia;Small City
Santiago;6836;Colombia;Small City
Filandia;6851;Colombia;Small City
Ortega;6871;Colombia;Small City
Cantagallo;6874;Colombia;Small City
Apia;6940;Colombia;Small City
Otanche;6997;Colombia;Small City
Villagarzon;7015;Colombia;Small City
Colombia;7040;Colombia;Small City
Cerro de San Antonio;7057;Colombia;Small City
Guateque;7069;Colombia;Small City
La Chamba;7075;Colombia;Small City
Genova;7140;Colombia;Small City
Peque;7155;Colombia;Small City
Riosucio;7163;Colombia;Small City
La Dorada;7185;Colombia;Small City
El Penon;7234;Colombia;Small City
Medina;7281;Colombia;Small City
Inirida;7298;Colombia;Small City
El Aguila;7393;Colombia;Small City
Salahonda;7430;Colombia;Small City
Silvia;7474;Colombia;Small City
El Pinon;7481;Colombia;Small City
Milan;7507;Colombia;Small City
Uribia;7519;Colombia;Small City
Cumbal;7529;Colombia;Small City
Cartagena del Chaira;7586;Colombia;Small City
Choconta;7592;Colombia;Small City
Prado;7607;Colombia;Small City
Cota;7615;Colombia;Small City
El Paujil;7618;Colombia;Small City
Barbacoas;7633;Colombia;Small City
Cicuco;7662;Colombia;Small City
San Carlos;7742;Colombia;Small City
Jardin;7747;Colombia;Small City
Jerico;7750;Colombia;Small City
Sardinata;7872;Colombia;Small City
Herveo;7893;Colombia;Small City
Liborina;7928;Colombia;Small City
El Dovio;7942;Colombia;Small City
Caqueza;7958;Colombia;Small City
Aipe;7964;Colombia;Small City
Muzo;7977;Colombia;Small City
Soplaviento;8067;Colombia;Small City
Puerto Concordia;8086;Colombia;Small City
Rio Viejo;8125;Colombia;Small City
Policarpa;8149;Colombia;Small City
Pensilvania;8173;Colombia;Small City
Tubara;8180;Colombia;Small City
Leiva;8201;Colombia;Small City
Timana;8203;Colombia;Small City
Cisneros;8204;Colombia;Small City
Gomez Plata;8235;Colombia;Small City
Miraflores;8274;Colombia;Small City
Remolino;8308;Colombia;Small City
Titiribi;8316;Colombia;Small City
Yotoco;8362;Colombia;Small City
Arboletes;8380;Colombia;Small City
Sopo;8396;Colombia;Small City
Achi;8434;Colombia;Small City
San Antonio;8476;Colombia;Small City
